pm25,pm10,so2,no2,co,纬度,经度, 
27.98,40.91,6.96,12.35,0.55,22.02,110.42, 
27.34,40.27,6.99,12.29,0.53,22.01,110.56, 
26.58,38.97,6.94,11.64,0.5,22.01,110.71, 
26.46,38.13,6.58,10.73,0.48,22,110.85, 
28.86,39.99,6.2,10.06,0.46,21.99,110.99, 
34.26,45.57,6.15,10.58,0.48,21.99,111.14, 
39.77,52.06,6.49,12.56,0.52,21.98,111.28, 
41.13,53.76,6.81,14.97,0.54,21.97,111.43, 
41.27,54.02,7.14,17.29,0.55,21.96,111.57, 
39.87,51.64,7.2,18.47,0.53,21.95,111.71, 
39.37,50.54,6.79,18.59,0.5,21.94,111.86, 
39.14,49.45,6.68,17.67,0.47,21.94,112, 
38.28,48.54,6.36,17.7,0.45,21.93,112.15, 
35.99,46.24,6.41,17.57,0.41,21.92,112.29, 
32.4,43.02,5.78,18.3,0.38,21.91,112.43, 
29.28,40.25,6.65,18.61,0.35,21.9,112.58, 
25.29,35.8,5.7,12.53,0.31,21.87,113.01, 
24.36,34.53,5.36,8.71,0.3,21.86,113.15, 
19.53,22.06,5.46,1.01,0.21,22.14,99.29, 
20.1,22.83,5.54,1.19,0.22,22.15,99.43, 
20.41,23.73,5.66,2,0.22,22.16,99.58, 
20.76,25.18,5.7,2.29,0.23,22.16,99.72, 
21.28,28.37,5.77,3.6,0.26,22.17,99.86, 
22.44,33.79,6.48,8.13,0.31,22.18,100.01, 
22.97,38.7,6.77,13.37,0.37,22.18,100.15, 
23.37,42.1,6.17,14.21,0.41,22.19,100.3, 
23.94,44.11,6.01,14.73,0.42,22.19,100.44, 
23.57,43.19,5.93,13.89,0.41,22.2,100.59, 
23.62,45.91,7.61,25.95,0.49,22.2,100.73, 
23.03,45.19,8.35,32.71,0.5,22.21,100.88, 
21.34,37.41,6.31,16.39,0.4,22.21,101.02, 
20.8,32.8,5.36,7.75,0.33,22.22,101.17, 
21.62,32.83,5.51,7.56,0.32,22.22,101.31, 
22.16,31.71,5.96,6.74,0.3,22.23,101.45, 
48.69,73.35,15.83,13.8,0.69,22.27,106.81, 
43.93,69.21,12.63,15.46,0.73,22.27,106.95, 
41.36,66.93,10.63,16.49,0.75,22.26,107.1, 
39.4,64.19,9.07,16.95,0.76,22.26,107.24, 
38.3,61.67,8.11,17.24,0.76,22.26,107.39, 
36.12,57.19,7.56,17.23,0.76,22.26,107.53, 
33.58,53.23,7.46,17.32,0.76,22.25,107.68, 
34.26,53.17,7.63,17.85,0.78,22.25,107.82, 
35.7,53.63,7.45,18.32,0.81,22.25,107.97, 
36.41,53.2,7.27,17.96,0.84,22.24,108.11, 
35.15,51.08,7.3,17.5,0.86,22.24,108.26, 
32.65,47.15,7.27,15.71,0.84,22.23,108.4, 
31.02,44.75,7.39,15.05,0.85,22.23,108.55, 
30.58,43.83,7.59,14.73,0.85,22.22,108.69, 
29.24,41.73,7.76,14.63,0.85,22.22,108.83, 
26.84,38.5,7.61,14.16,0.81,22.21,108.98, 
24.78,35.58,7.11,12.96,0.74,22.21,109.12, 
24.45,34.2,6.7,11.7,0.66,22.2,109.27, 
24.87,34.32,6.66,11.32,0.63,22.2,109.41, 
25.94,35.51,6.96,11.38,0.63,22.19,109.56, 
27.49,37.41,7.61,12.26,0.65,22.19,109.7, 
28.93,39.73,7.76,12.71,0.65,22.18,109.85, 
27.83,38.58,7.1,11.79,0.6,22.18,109.99, 
27.78,38.56,6.45,11.09,0.56,22.17,110.14, 
27.03,37.93,6.07,11.02,0.53,22.16,110.28, 
26.47,37.61,5.96,11.05,0.51,22.16,110.42, 
25.52,36.41,5.81,10.77,0.49,22.15,110.57, 
24.48,34.81,5.7,10.11,0.47,22.14,110.71, 
24.36,34.03,5.54,9.45,0.45,22.13,110.86, 
26.7,36.09,5.47,9.2,0.43,22.13,111, 
32.48,42.47,5.65,10.04,0.45,22.12,111.15, 
38.06,49.56,6.15,12.41,0.51,22.11,111.29, 
